SampleID,plot id,BE_plots,sampling_round,sampling_year,Potassium 1 (1. fraction - mg/100g),Potassium 2 (2. fraction - mg/100g),Calcium 1 (1. fraction - mg/100g),Calcium 2 (2.fraction - mg/100g),Magnesium 1 (1.fraction - mg/100g),Magnesium 2 (2.fraction - mg/100g),Boron 1 (1. fraction - mg/1000g),Boron 2 (2. fraction - mg/1000g),Sodium (1. +2. fraction - mg/100g),Sulfur at ICP 1 (1. fraction - mg/100g),Sulfur at ICP 2 (2.fraction - mg/100g),Phosphorous at ICP 1 (1. fraction - mg/100g),Phosphorous at ICP 2 (2. fraction - mg/100g),Nitrate - NO3 (1.fraction - mg/100g),org. Nitrogen (1. + 2.fraction - mg/100g),org. Nitrogen 1(1. fraction - mg/100g),org. Nitrogen 2 (2.fraction - mg/100g),mikroml - amount of extract in 3.fraction (in ml),Fe3 (3.fraction - mg/1000g),Mn3 (3.fraction - mg/1000g),Zn3 (3.fraction - mg/1000g),Cu3 (3.fraction - mg/1000g),P total (1. +2. fraction - mg/100g),K total (1.+2. fraction - mg/100g),Ca total (1.+2.fraction - mg/100g),Mg total (1.+2. fraction - mg/100g),Bor total (1.+2. fraction - mg/100g),S total (1.+2. fraction - mg/100g)
FD_SGM_22,AEG23,AEG23,R1,2022,4.39,5.53,52.27,56.69,1.66,0.7,0.47,0.45,1.83,0.92,0.38,0.59,0.47,1.72,2.63,1.7,0.92,84.61,87.27,0.82,2.37,1.98,0.77,9.92,108.96,2.36,0.92,1.3
FD_SGM_23,AEG29,AEG29,R1,2022,7.86,6.62,26.4,28.31,1.07,0.61,0.19,0.22,1.49,1.37,0.4,0.48,0.29,1.62,3.34,2.26,1.08,87.45,78.62,1.19,1.04,1.42,0.44,14.48,54.71,1.68,0.41,1.77
FD_SGM_24,AEG08,AEG08,R2,2022,5.43,4.72,45.58,38.16,2.29,0.81,0.39,0.62,1.2,1.03,0.34,0.54,0.32,0.34,2.61,2.06,0.55,80.31,61.2,1.94,2.51,1.44,0.52,10.15,83.74,3.1,1.01,1.37
FD_SGM_25,AEG28,AEG28,R2,2022,4.86,3.74,55.64,45.36,1.75,0.52,0.22,0.24,1.04,0.74,0.23,1.05,0.5,0.2,2.59,1.82,0.77,76.23,28.16,2.52,1.84,1.34,1.45,8.6,101,2.27,0.46,0.97
FD_SGM_26,AEG32,AEG32,R2,2022,5.15,4.51,29.12,26.17,1.12,0.49,0.26,0.23,1.1,0.62,0.24,1.94,1.28,1.69,1.94,1.28,0.66,92.6,165.61,2.26,2.96,2.63,3.21,9.66,55.29,1.61,0.49,0.86
FD_SGM_27,AEG33,AEG33,R2,2022,4.54,4.55,34.26,33.38,1.61,0.94,0.29,0.31,1.09,0.77,0.38,0.55,0.4,0.07,2.82,1.84,0.98,88.82,92.53,2.97,2.68,1.53,0.82,9.09,67.64,2.55,0.6,1.15
FD_SGM_28,AEG34,AEG34,R2,2022,5.09,4.89,50.99,44.48,1.24,0.47,0.29,0.27,2.02,0.72,0.26,0.79,0.43,0.46,2.48,1.69,0.79,90.43,81.75,4.97,2.42,2.21,1.24,9.98,95.47,1.71,0.56,0.98
FD_SGM_29,AEG49,AEG49,R2,2022,5.44,4.45,36.78,28.38,1.17,0.41,0.29,0.35,0.81,0.82,0.35,0.51,0.32,0.11,2.83,1.92,0.91,87.04,79.92,3.95,2.18,1.78,0.61,9.89,65.16,1.58,0.64,1.17
FD_SGM_30,B2,X0,R2,2022,6.9,7.72,46.35,41.27,2.51,0.87,0.41,0.29,4.01,0.82,0.35,3.33,2.22,2.2,2.46,1.6,0.86,84.23,107.39,1.45,2.53,1.75,6.3,14.62,87.62,3.38,0.7,1.17
FD_SGM_31,C2,X0,R2,2022,20.73,19.78,42.93,61.4,1.84,0.43,0.36,0.22,1.51,0.75,0.45,3.44,4.33,2.58,2.18,1.39,0.8,81.42,103.96,1.74,7.12,3.11,9.06,40.51,104.33,2.27,0.58,1.2
